standID,X,Y,charge
0.0,25.9754,16.6909,-0.4441838822375885
1.0,26.0947,16.106,-0.697817777515356
2.0,26.0947,15.535,-0.5005469699239613
3.0,26.0125,14.9698,-0.41600233770531225
-1.0,25.8371,14.4576,-1.0
4.0,25.5923,13.9432,-0.7541808652017289
5.0,25.3305,13.4876,-1.120540935852242
-1.0,24.9698,12.9823,-1.0
6.0,24.6543,12.6152,-0.613273145296707
7.0,24.2989,12.246,-0.21873153011391755
8.0,23.9314,11.9047,-0.697817777515356
9.0,23.5566,11.6261,-0.9796332159472202
10.0,23.145,11.3575,-1.176904023538615
11.0,22.7573,11.1175,-0.41600233770531225
12.0,22.3373,10.9144,-0.8387254960421983
13.0,21.9011,10.7276,-0.5850916007644308
14.0,21.4973,10.5685,-1.0078147604794965
15.0,20.9878,15.1472,-0.697817777515356
16.0,21.4644,17.337,-0.5005469699239613
17.0,21.4644,16.8913,0.418120247197633
18.0,21.4644,16.4748,-0.47745414597963964
19.0,21.4644,16.025,-0.9636231040871962
20.0,21.4644,14.6932,-0.6053933459893795
21.0,21.4644,17.7542,-1.0659744635437156
-1.0,20.9878,15.6011,-1.0
22.0,21.4644,15.6011,-0.4006906270763409
-1.0,21.4644,15.1472,-1.0
23.0,20.9878,17.7542,0.008714809371555755
24.0,19.1208,9.9518,0.29018104718789406
-1.0,18.7347,10.0897,-1.0
25.0,18.352,10.2201,-0.707744705445898
-1.0,17.9413,10.3888,-1.0
26.0,17.5603,10.5548,0.46929592692589267
27.0,17.2588,12.0906,-0.4006906270763409
-1.0,17.6326,12.0083,-1.0
28.0,17.9323,11.9947,2.1202429897591344
29.0,18.8584,12.1399,1.5659747503381225
30.0,19.2352,12.3266,1.8777506349263053
-1.0,19.5499,12.5703,-1.0
31.0,19.8645,12.8386,1.6006165159048893
32.0,21.014,11.177,1.4620494550160017
-1.0,21.2979,11.2969,-1.0
33.0,21.5722,11.4127,1.1502735704278186
34.0,21.8561,11.5326,1.4966912205827685
