standID,X,Y,charge
-1.0,25.9754,16.6909,-1.0
-1.0,26.0947,16.106,-1.0
23.0,26.0947,15.535,0.008714809371555755
86.0,26.0125,14.9698,0.006609481564541212
-1.0,25.8371,14.4576,-1.0
-1.0,25.5923,13.9432,-1.0
99.0,25.3305,13.4876,0.17082511252982516
-1.0,24.9698,12.9823,-1.0
-1.0,24.6543,12.6152,-1.0
-1.0,24.2989,12.246,-1.0
-1.0,23.9314,11.9047,-1.0
108.0,23.5566,11.6261,0.30767147097847136
-1.0,23.145,11.3575,-1.0
111.0,22.7573,11.1175,0.006609481564541212
-1.0,22.3373,10.9144,-1.0
-1.0,21.9011,10.7276,-1.0
-1.0,21.4973,10.5685,-1.0
-1.0,20.9878,15.1472,-1.0
46.0,21.4644,17.337,0.2842294464186238
85.0,21.4644,16.8913,-0.45866813743649226
17.0,21.4644,16.4748,0.418120247197633
0.0,21.4644,16.025,-0.4441838822375885
-1.0,21.4644,14.6932,-1.0
84.0,21.4644,17.7542,-0.15760614940074275
-1.0,20.9878,15.6011,-1.0
65.0,21.4644,15.6011,0.2970948136389688
-1.0,21.4644,15.1472,-1.0
88.0,20.9878,17.7542,0.25293292732337636
-1.0,19.1208,9.9518,-1.0
-1.0,18.7347,10.0897,-1.0
-1.0,18.352,10.2201,-1.0
-1.0,17.9413,10.3888,-1.0
-1.0,17.5603,10.5548,-1.0
24.0,17.2588,12.0906,0.29018104718789406
13.0,17.6326,12.0083,-0.5850916007644308
48.0,17.9323,11.9947,0.5960053310068067
87.0,18.8584,12.1399,-0.15760614940074275
92.0,19.2352,12.3266,-0.020759789573915978
66.0,19.5499,12.5703,0.23699768511832905
-1.0,19.8645,12.8386,-1.0
54.0,21.014,11.177,1.3581241610720605
126.0,21.2979,11.2969,-2.129084429385864
51.0,21.5722,11.4127,2.1202429897591344
119.0,21.8561,11.5326,-1.9360268091260546
30.0,22.2441,11.6842,1.8777506349263053
121.0,22.5247,11.8116,-2.2066070804215716
35.0,22.7959,11.9347,2.085601225570547
127.0,20.8896,11.4672,-1.4377865734786215
36.0,21.1736,11.5871,2.0163176944370136
124.0,21.4479,11.7029,-1.9901428631095222
38.0,21.7318,11.8229,1.6006165159048893
123.0,22.1121,11.971,-1.9630848361177884
28.0,22.3927,12.0984,2.1202429897591344
122.0,22.6639,12.2215,-2.1254329994463705
53.0,22.9445,12.349,1.3234823955052935
131.0,23.0765,12.0621,-1.5890079787261724
67.0,24.342,14.5907,0.14685199233736945
-1.0,24.342,15.0619,-1.0
-1.0,23.1007,13.7432,-1.0
-1.0,23.1007,14.2057,-1.0
-1.0,24.7698,14.1196,-1.0
110.0,24.7698,14.5907,-0.15760614940074275
-1.0,24.7698,15.0619,-1.0
105.0,24.7698,15.533,-0.07549833460719058
57.0,24.7698,16.0042,0.026657735296089023
98.0,22.6744,13.2808,0.088717297736273
-1.0,22.6744,13.7432,-1.0
-1.0,22.6744,14.2057,-1.0
97.0,10.7923,11.6393,0.06134802521963619
-1.0,11.0054,11.1048,-1.0
-1.0,11.2746,10.5714,-1.0
-1.0,11.5312,10.0583,-1.0
95.0,11.8389,9.5682,-0.020759789573915978
-1.0,12.1908,9.0432,-1.0
106.0,9.6459,9.596,-0.07549833460719058
-1.0,12.5612,8.59,-1.0
-1.0,9.2312,9.9481,-1.0
-1.0,8.8488,10.2894,-1.0
81.0,8.4402,10.6889,0.25293292732337636
61.0,8.0617,11.0869,-0.183682214526151
-1.0,23.1007,13.2808,-1.0
118.0,19.7282,13.958,-1.2054600734583454
77.0,19.4127,13.958,0.7478232789219493
11.0,17.8843,13.958,-0.41600233770531225
49.0,17.5358,13.958,1.0117065109171106
133.0,17.1881,13.958,-1.3945804580873729
44.0,16.8396,13.958,1.2195571001831726
128.0,16.4911,13.958,-1.221755993766017
76.0,16.1433,13.958,1.0783574857854699
117.0,19.8669,16.8995,-1.1784020464666116
37.0,19.8669,16.5771,1.3581241610720605
125.0,19.8669,16.2548,-1.4161835144048176
27.0,20.9878,17.3065,-0.4006906270763409
64.0,20.9878,16.8771,0.5074347648393894
3.0,20.9878,16.4648,-0.41600233770531225
104.0,20.9878,16.025,0.22556365618492014
