locationID,standID,X,Y,Ratings
141,-1,15.8448,14.9642,-1
142,-1,15.8448,15.4039,-1
143,-1,15.8448,15.8436,-1
144,-1,15.8448,16.2833,-1
145,-1,15.8448,16.723,-1
146,-1,16.2933,14.5245,-1
147,-1,16.2933,14.9642,-1
148,-1,16.2933,15.4039,-1
149,-1,16.2933,15.8436,-1
150,-1,16.2933,16.2833,-1
151,-1,16.2933,16.723,-1
152,-1,16.7421,14.5245,-1
153,-1,16.7421,14.9642,-1
154,-1,16.7421,15.4039,-1
155,-1,16.7421,15.8436,-1
156,-1,16.7421,16.2833,-1
157,-1,16.7421,16.723,-1
158,-1,17.191,14.5245,-1
159,-1,17.191,14.9642,-1
160,-1,17.191,15.4039,-1
161,-1,17.191,15.8436,-1
162,-1,17.191,16.2833,-1
163,-1,17.191,16.723,-1
164,-1,17.6395,14.5245,-1
165,-1,17.6395,14.9642,-1
166,-1,17.6395,15.4039,-1
167,-1,17.6395,15.8436,-1
168,-1,17.6395,16.2833,-1
169,-1,17.6395,16.723,-1
170,-1,18.0842,14.5245,-1
171,-1,18.0842,14.9642,-1
172,-1,18.0842,15.4039,-1
173,-1,18.0842,15.8436,-1
174,-1,18.0842,16.2833,-1
175,-1,18.0842,16.723,-1
176,-1,18.529,14.5245,-1
177,-1,18.529,14.9642,-1
178,-1,18.529,15.4039,-1
179,-1,18.529,15.8436,-1
180,-1,18.529,16.2833,-1
181,-1,18.529,16.723,-1
182,-1,18.9746,14.5245,-1
183,-1,18.9746,14.9642,-1
184,-1,18.9746,15.4039,-1
185,-1,18.9746,15.8436,-1
186,-1,18.9746,16.2833,-1
187,-1,18.9746,16.723,-1
188,-1,15.4676,6.2612,-1
189,-1,15.4676,6.7009,-1
190,-1,15.4676,7.1406,-1
191,-1,15.4676,7.5803,-1
192,-1,15.4676,8.02,-1
193,-1,15.4676,8.4597,-1
194,-1,15.9132,6.2612,-1
195,-1,15.9132,6.7009,-1
196,-1,15.9132,7.1406,-1
197,-1,15.9132,7.5803,-1
198,-1,15.9132,8.02,-1
199,-1,15.9132,8.4597,-1
