tRecord,energyRecord
0,496.17737375042043
1,496.17737375042043
2,450.72989572451627
3,450.95181954365717
4,451.26909408357665
5,451.26909408357665
6,420.8986517974882
7,417.0820739831507
8,409.86218995889897
9,373.7722148919651
10,373.71635930683414
11,364.47293639768685
12,292.10756298483193
13,278.2526328287153
14,275.05863487499846
15,270.9764636033847
16,199.4731024281202
17,199.4731024281202
18,199.13233847045623
19,189.87886677339745
20,186.34099178095235
21,185.16398584966177
22,184.71535796382804
23,184.71535796382804
24,184.71535796382804
25,181.05543577303078
26,178.56944199407008
27,178.56944199407008
28,178.56944199407008
29,169.52262807874214
30,165.95791190869465
31,164.7396211357576
32,164.7396211357576
33,164.7396211357576
34,164.7396211357576
35,164.7396211357576
36,163.54343549140853
37,162.84981373603568
38,159.57252497039065
39,159.57252497039065
40,155.62563302477741
41,155.27464903308405
42,151.74304071011966
43,125.00636746405085
44,125.00636746405085
45,125.00636746405085
46,123.69250173005169
47,115.86032788488926
48,116.23456855917274
49,107.06495622871569
50,84.2460239148416
51,84.35039568298527
52,85.65484412154402
53,84.79711256677805
54,84.75113807563838
55,84.75113807563838
56,84.75113807563838
57,83.3248483659853
58,78.16082528865184
59,77.03408860456264
60,77.03408860456264
61,75.97936191949248
62,75.97936191949248
63,75.97936191949248
64,75.97936191949248
65,75.97936191949248
66,75.97936191949248
67,75.97936191949248
68,75.14813410763306
69,75.14813410763306
70,75.14813410763306
71,75.14813410763306
72,63.32684870107313
73,63.32684870107313
74,63.37488780419979
75,63.373306618368375
76,57.6971838251646
77,55.913698479365735
78,55.3863940146761
79,48.001264653780765
80,48.001264653780765
81,7.599703424580672
82,7.092266502164587
83,7.969311533067823
84,2.8274273617223566
85,2.8274273617223566
86,-8.484911201723712
87,-12.583963368955935
88,-12.463246161908465
89,-12.492061706179335
90,-12.492061706179335
91,-22.875280788466082
92,-22.875280788466082
93,-23.326764712345774
94,-28.148279534864784
95,-32.05083361550452
96,-32.05083361550452
97,-32.05083361550452
98,-34.30593816628868
99,-34.30593816628868
100,-34.30593816628868
101,-34.30593816628868
102,-34.22109230150424
103,-32.831824209419615
104,-39.442404274256106
105,-49.96021132667005
106,-56.80078379609761
107,-57.988806545479896
108,-57.988806545479896
109,-57.988806545479896
110,-58.881146358271046
111,-66.8767271903892
112,-66.8767271903892
113,-72.48569465962888
114,-72.48569465962888
115,-73.70710622068478
116,-73.76278885619422
117,-73.76278885619422
118,-73.64131762428164
119,-73.59640793942063
120,-73.59640793942063
121,-73.59640793942063
122,-74.21125056961654
123,-80.3968904108973
124,-80.3968904108973
125,-80.10368581421199
126,-79.32947757199662
127,-77.69566573273025
128,-80.71017119765334
129,-87.78813592453692
130,-87.78813592453692
131,-87.78587436597174
132,-87.2694943108893
133,-86.64586522399931
134,-86.64096255332568
135,-87.84261084008709
136,-87.84261084008709
137,-87.84261084008709
138,-91.98545424935624
139,-91.98545424935624
140,-92.26309120717475
141,-90.34248116588576
142,-90.38044841124706
143,-93.42805688304291
144,-94.41999569592797
145,-95.15963877953625
146,-95.2389836255317
147,-95.2389836255317
148,-95.36570620725259
149,-95.35029326866383
150,-95.35029326866383
151,-99.56119874937174
152,-99.56119874937174
153,-97.43098763848603
154,-97.43098763848603
155,-100.3503128539078
156,-100.3503128539078
157,-101.99097660770478
158,-101.99097660770478
159,-101.99097660770478
160,-101.99097660770478
161,-101.99097660770478
162,-105.44931578438259
163,-105.35756678987231
164,-104.93045723100961
165,-104.93045723100961
166,-104.93045723100961
167,-108.31053469876201
168,-108.65230985242431
169,-108.41401793114468
170,-108.04080226685758
171,-108.04080226685758
172,-108.04080226685758
173,-109.1371387834784
174,-108.61949146435538
175,-108.61949146435538
176,-109.46003729224356
177,-110.53911526483157
178,-110.53911526483157
179,-110.53911526483157
180,-110.84036488470062
181,-113.51598229133407
182,-113.51598229133407
183,-113.51598229133407
184,-113.51598229133407
185,-113.51598229133407
186,-113.51598229133407
187,-115.61667380264043
188,-115.61667380264043
189,-118.53735744650729
190,-121.13020801157947
191,-121.13020801157947
192,-121.38556028349606
193,-121.38556028349606
194,-124.32382971316264
195,-123.65120517675446
196,-123.65120517675446
197,-123.65120517675446
198,-124.51694237360672
199,-124.49310725825543
200,-124.49310725825543
201,-124.73814156488174
202,-124.73814156488174
203,-124.73814156488174
204,-125.74543287580195
205,-125.74543287580195
206,-130.53779496784935
207,-130.0030734930318
208,-130.0030734930318
209,-130.00244027936344
210,-129.99430288726134
211,-129.99430288726134
